cardId,cardName,Detail_summ_name
26,KB국민 청춘대로 톡톡카드,"['연회비지원', '카페/베이커리', '외식', '통신', '대중교통', '간편결제', '쇼핑', '영화', '편의점', '주유', '대형마트', '레저', '문화', '뷰티']"
27,KB국민 The Easy카드,"['연회비지원', '편의점', '카페/베이커리', '주유', '교육', '뷰티', '통신', '관리비', '포인트/캐시백', '대형마트']"
28,신한카드 RPM+ Platinum#,"['연회비지원', '주유', '프리미엄', '쇼핑', '오토', '대형마트', '대중교통', '편의점', '포인트/캐시백']"
29,현대카드 MX Black Edition2,"['연회비지원', '포인트/캐시백', '프리미엄', '쇼핑', '카페/베이커리', '편의점', '주유', '대중교통', '대형마트', '통신', '외식', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '의료']"
30,KB국민 굿데이올림카드,"['교육', '주유', '통신', '대형마트', '외식', '대중교통', '카페/베이커리', '편의점', '의료', '레저', '포인트/캐시백']"
31,기업은행 BLISS.5 카드,"['항공마일리지', 'Priority Pass', '프리미엄', '바우처']"
32,현대카드 Summit,"['연회비지원', '바우처', '포인트/캐시백', '프리미엄', '교육', '의료', '대형마트', '주유', '통신', '쇼핑', '카페/베이커리', '외식', '문화', '영화', '뷰티', '금융']"
33,아시아나 신한카드 Air 1.5,"['연회비지원', '항공마일리지']"
34,삼성 iD ON 카드,"['연회비지원', '대중교통', '외식', '간편결제', '카페/베이커리', '문화', '통신']"
35,신한카드 Air One,['항공마일리지']
36,현대카드MM,"['연회비지원', '포인트/캐시백', '쇼핑', '외식', '프리미엄', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '대중교통', '간편결제', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '육아', '의료', '반려동물']"
37,LOCA Professional,"['포인트/캐시백', '납부 혜택', '바우처', '프리미엄', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '쇼핑', '육아', '통신', '교육', '대형마트', '오토', '주유']"
38,신한카드 경차사랑 Life,"['경차유류환급', '주유', '편의점', '카페/베이커리', '대형마트', '금융', '의료']"
39,신한카드 Simple+,"['연회비지원', '포인트/캐시백', '카페/베이커리', '편의점', '대형마트', '통신', '쇼핑', '외식', '영화', '대중교통', '문화', '뷰티', '관리비', '주유', '육아', '의료', '교육', '레저']"
40,신한카드 국민행복,"['국민행복카드', '의료', '쇼핑', '교육', '외식', '문화', '금융']"
41,NH농협 올바른NEW HAVE 카드,"['포인트/캐시백', '쇼핑', '외식', '대형마트', '문화', '통신', '카페/베이커리', '대중교통', '편의점', '프리미엄', '금융']"
42,KB국민 다담카드,"['연회비지원', '통신', '주유', '영화', '대중교통', '포인트/캐시백', '쇼핑', '대형마트', '카페/베이커리', '외식', '편의점', '문화', '교육', '오토']"
43,신한카드 처음,"['연회비지원', '통신', '카페/베이커리', '외식', '편의점', '쇼핑', '포인트/캐시백']"
44,어디로든 그린카드 X LOCA,"['그린카드', '주유', '레저', '대중교통', '카페/베이커리', '쇼핑', '대형마트', '편의점', '외식', '영화', '통신', '교육', '문화', '렌탈', '뷰티', '의료', '육아', '반려동물']"
45,삼성iD GLOBAL 카드,"['연회비지원', '언제나할인', '쇼핑', '간편결제', '문화', '레저', '편의점', '카페/베이커리', '주유', '프리미엄']"
46,BC 바로 리워드 플러스,"['언제나할인', '외식', '쇼핑', '문화', '대형마트', '영화', '주유', '대중교통', '통신', '레저', '교육', '관리비']"
47,신한카드 처음(ANNIVERSE),"['포인트/캐시백', '통신', '카페/베이커리', '외식', '편의점', '쇼핑']"
48,LOCA LIKIT,"['연회비지원', '영화', '대중교통', '통신', '외식', '카페/베이커리']"
49,삼성 iD ALL 카드,"['연회비지원', '언제나할인', '쇼핑', '대형마트', '주유', '통신', '관리비']"
50,스타벅스 현대카드,"['카페/베이커리', '쇼핑', '포인트/캐시백', '간편결제', '대중교통', '문화', '뷰티', '편의점', '외식', '대형마트', '교육', '영화', '통신', '의료', '프리미엄', '반려동물', '금융', '오토', '주유', '렌탈', '육아', '레저']"
51,삼성카드 taptap S,"['영화', '포인트/캐시백', '주유', '카페/베이커리', '쇼핑', '간편결제', '대형마트', '편의점', '외식', '통신', '교육', '의료', '렌탈', '레저', '육아', '문화', '반려동물', '뷰티']"
52,신한카드 K-패스,"['연회비지원', '대중교통', '간편결제', '외식', '편의점', '카페/베이커리', '쇼핑', '의료', '문화', '통신']"
53,현대카드Z family Edition2,"['연회비지원', '쇼핑', '의료', '교육', '주유', '통신', '관리비']"
54,"카드의정석 Dear, Shopper","['바우처', '포인트/캐시백', '프리미엄', '쇼핑']"
55,KB국민 가온올림카드(실속형),"['포인트/캐시백', '대중교통', '외식', '카페/베이커리', '언제나할인', '레저', '영화', '금융', '통신', '편의점', '주유', '대형마트', '뷰티', '교육']"
56,무민 카드(신용),"['카페/베이커리', '쇼핑', '대형마트', '대중교통', '주유', '레저', '편의점', '금융', '영화', '연회비지원']"
57,트래블로그 신용카드,"['포인트/캐시백', '언제나할인']"
58,롯데월드카드 (삼성카드),"['언제나할인', '문화', '레저', '쇼핑', '외식', '주유', '관리비']"
59,신한카드 B.Big(삑),"['연회비지원', '대중교통', '편의점', '카페/베이커리', '쇼핑', '영화', '관리비', '통신']"
60,KB국민 WE:SH Travel 카드,"['연회비지원', '쇼핑', '카페/베이커리', '편의점', '영화', '금융', '대중교통', '프리미엄']"
61,NH농협 올원 파이카드,"['쇼핑', '주유', '통신', '대형마트', '의료', '카페/베이커리', '대중교통', '편의점', '뷰티', '외식']"
62,원더카드 LIVING,"['관리비', '의료', '주유', '카페/베이커리', '대중교통', '언제나할인']"
63,KB국민행복카드,"['국민행복카드', '금융', '쇼핑', '대형마트', '교육', '육아', '관리비', '통신']"
64,KB국민 와이즈카드,"['포인트/캐시백', '교육', '쇼핑', '주유', '대중교통', '외식', '대형마트', '카페/베이커리', '레저', '뷰티', '의료', '통신', '영화']"
65,taptap DIGITAL,"['연회비지원', '간편결제', '문화', '편의점', '뷰티', '쇼핑']"
66,JADE Prime,"['바우처', '프리미엄', '포인트/캐시백']"
67,taptap DRIVE,"['연회비지원', '쇼핑', '카페/베이커리', '주유', '간편결제', '편의점']"
68,기업은행 일상의 기쁨카드,"['카페/베이커리', '쇼핑', '편의점', '대형마트', '대중교통', '주유', '레저', '금융', '영화', '연회비지원']"
69,우리 국민행복카드 S2,"['국민행복카드', '의료', '쇼핑', '대형마트', '통신', '관리비', '렌탈', '문화', '교육', '레저']"
70,BC 바로 클리어 플러스,"['문화', '쇼핑', '통신', '대중교통', '뷰티', '편의점', '외식']"
71,삼성 iD SIMPLE 카드,"['연회비지원', '쇼핑', '영화', '카페/베이커리', '외식', '주유', '간편결제', '대형마트', '편의점', '통신', '교육', '의료', '렌탈', '레저', '육아', '문화', '반려동물', '뷰티', '언제나할인']"
72,모바일엔디지로카,"['연회비지원', '통신']"
73,KB국민 그린카드(전국형),"['포인트/캐시백', '언제나할인', '대중교통', '쇼핑', '대형마트', '그린카드']"
74,현대카드ZERO Edition3(포인트형),"['연회비지원', '포인트/캐시백', '대중교통', '간편결제', '편의점', '통신', '카페/베이커리', '대형마트', '주유', '외식', '쇼핑', '영화', '뷰티', '레저', '문화', '렌탈', '오토', '교육', '육아', '의료', '반려동물', '금융', '하이패스']"
75,신한카드 Deep On Platinum+,"['연회비지원', '간편결제', '포인트/캐시백', '프리미엄', '쇼핑', '카페/베이커리']"
76,zgm.휴가중카드,"['포인트/캐시백', '레저', '프리미엄', '금융']"
77,카드의정석 EVERY DISCOUNT,"['연회비지원', '언제나할인', '간편결제', '쇼핑', '카페/베이커리', '외식', '뷰티', '주유', '문화', '통신', '육아', '교육', '영화', '의료', '대형마트', '편의점', '대중교통', '렌탈']"
78,현대 아멕스 그린 카드 Edition2,"['연회비지원', '포인트/캐시백', '바우처', '프리미엄', '레저', '외식', '대중교통']"
79,NH20 해봄카드,"['프리미엄', '레저', '쇼핑', '문화', '영화', '통신', '카페/베이커리', '편의점', '대중교통', '주유', '외식']"
80,THE iD. PLATINUM (포인트),"['연회비지원', '문화', '카페/베이커리', '프리미엄', '바우처', '포인트/캐시백']"
81,티머니 Pay & GO 신한카드,"['대중교통', '쇼핑', '편의점', '통신', '카페/베이커리']"
82,ALL 우리카드 Infinite,"['바우처', '포인트/캐시백', '프리미엄']"
83,NH농협 별다줄카드,"['언제나할인', '쇼핑', '대중교통', '카페/베이커리', '편의점', '통신', '외식', '문화', '프리미엄', '레저']"
84,삼성카드 스페셜마일리지,"['항공마일리지', '외식', '프리미엄', '대형마트', '주유', '카페/베이커리']"
85,zgm 할인카드,"['언제나할인', '관리비', '통신', '쇼핑', '문화', '대형마트', '금융', '반려동물', '프리미엄']"
86,롯데백화점 롯데카드,"['연회비지원', '쇼핑']"
87,아메리칸 엑스프레스 블루,"['연회비지원', '편의점', '외식', '대중교통', '통신', '쇼핑', '간편결제', '카페/베이커리', '문화']"
88,KB국민 K-패스카드,"['대중교통', '통신', '카페/베이커리', '의료', '편의점', '영화', '외식', '간편결제']"
89,에버랜드 삼성카드,"['레저', '포인트/캐시백', '간편결제', '외식', '통신', '문화']"
90,아시아나 삼성애니패스플래티늄,"['항공마일리지', '주유', '카페/베이커리', '영화', '레저', '오토']"
91,KB국민 톡톡Pay카드,"['연회비지원', '간편결제', '대중교통', '편의점', '카페/베이커리', '대형마트', '쇼핑', '외식', '영화', '교육', '뷰티', '주유', '의료', '레저']"
92,디지로카 Edu,"['연회비지원', '교육', '납부 혜택']"
93,신세계 신한카드,"['쇼핑', '포인트/캐시백', '카페/베이커리', '대형마트', '주유', '문화', '영화', '레저', '대중교통']"
94,삼성 iD ENERGY 카드,"['연회비지원', '주유', '오토', '하이패스', '대중교통', '카페/베이커리']"
95,KB국민 와이즈홈카드,"['관리비', '통신', '교육', '대중교통', '대형마트']"
96,현대카드Z work Edition2,"['연회비지원', '쇼핑', '편의점', '카페/베이커리', '대중교통', '문화']"
97,현대카드X,"['연회비지원', '포인트/캐시백', '프리미엄', '쇼핑', '외식', '대중교통', '통신', '간편결제', '편의점', '카페/베이커리', '대형마트', '주유', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '육아', '의료', '반려동물', '하이패스']"
98,경차 smart 롯데카드,"['경차유류환급', '주유', '오토', '대중교통', '대형마트']"
99,롯데 포인트플러스 카드,"['포인트/캐시백', '대형마트', '쇼핑', '주유', '외식', '레저', '영화', '뷰티']"
100,LOCA 나누기 카드,"['연회비지원', '납부 혜택']"
101,the Green Edition3,"['연회비지원', '바우처', '포인트/캐시백', '프리미엄', '레저', '대형마트', '카페/베이커리', '외식', '편의점', '주유', '오토', '교육', '통신', '육아', '의료', '뷰티', '문화', '영화', '렌탈', '금융', '반려동물']"
102,카드의정석 SHOPPING+,"['연회비지원', '쇼핑', '간편결제', '주유', '카페/베이커리']"
103,KT 마이알뜰폰 BC 바로카드,"['통신', '주유']"
104,신한카드 EVerywhere,"['주유', '문화', '통신', '편의점', '카페/베이커리', '오토']"
105,디지로카 Auto,"['연회비지원', '주유', '납부 혜택']"
106,현대카드M HYBRID,"['체크카드겸용', '포인트/캐시백']"
107,트래블월렛 우리카드,"['연회비지원', '포인트/캐시백']"
108,롯데카드 텔로 SE,"['통신', '납부 혜택']"
109,the Pink Edition2,"['연회비지원', '바우처', '포인트/캐시백', '프리미엄', '쇼핑', '대형마트', '카페/베이커리', '외식', '편의점', '주유', '오토', '교육', '통신', '육아', '의료', '뷰티', '레저', '문화', '영화', '렌탈', '금융', '반려동물']"
110,신한카드 YOLOⓘ,"['연회비지원', '대중교통', '영화', '편의점', '쇼핑', '카페/베이커리']"
111,뉴 에듀드림 롯데카드,"['교육', '쇼핑', '영화', '외식', '레저', '뷰티']"
112,KB국민 마이핏카드(할인형),"['외식', '카페/베이커리', '편의점', '뷰티', '대형마트', '주유', '통신', '쇼핑']"
113,디지로카 Paris,"['연회비지원', '쇼핑', '간편결제', '언제나할인', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '육아', '통신', '교육', '대형마트', '오토', '주유']"
114,트래블로그 PRESTIGE 신용카드,"['바우처', '항공마일리지', '언제나할인']"
115,신한카드 Unboxing,"['연회비지원', '쇼핑', '대형마트', '편의점', '카페/베이커리']"
116,삼성 iD PET 카드,"['금융', '문화', '편의점', '카페/베이커리', '언제나할인', '반려동물', '쇼핑', '간편결제']"
117,기업은행 용인시민카드,"['레저', '대형마트', '주유', '외식', '카페/베이커리', '쇼핑', '영화', '대중교통']"
118,K-패스 삼성카드,"['연회비지원', '대중교통', '카페/베이커리', '문화', '쇼핑']"
119,IBK-Hybrid카드,"['체크카드겸용', '포인트/캐시백', '연회비지원']"
120,코웨이 삼성카드,"['렌탈', '관리비', '통신']"
121,"카드의정석 Dear, Traveler","['바우처', '포인트/캐시백', '프리미엄', '레저', '대중교통']"
122,D4카드의정석Ⅱ,"['연회비지원', '카페/베이커리', '대중교통', '편의점', '영화']"
123,kt-현대카드M Edition3(통신할인형2.0),"['통신', '포인트/캐시백']"
124,신한카드 구독 좋아요,"['문화', '쇼핑', '통신', '관리비', '외식', '편의점', '카페/베이커리', '뷰티']"
125,KB국민 Easy all 티타늄카드,"['연회비지원', '문화', '카페/베이커리', '쇼핑', '외식', '주유', '통신', '레저', '대형마트', '관리비', '의료', '대중교통', '뷰티', '편의점', '영화', '프리미엄', '교육']"
126,NH농협 SKYPASS카드,"['항공마일리지', '영화', '쇼핑', '카페/베이커리', '문화', '레저', '교육']"
127,SK매직 삼성카드,"['렌탈', '관리비', '통신']"
128,KB국민 가온글로벌카드,"['포인트/캐시백', '쇼핑', '카페/베이커리', '프리미엄']"
129,신한카드 플리,"['연회비지원', '언제나할인', '포인트/캐시백']"
130,zgm living카드,"['주유', '관리비', '교육', '통신', '금융', '포인트/캐시백']"
131,신한카드 플리(산리오캐릭터즈),"['언제나할인', '포인트/캐시백']"
132,신한카드 Point Plan+,"['연회비지원', '관리비', '포인트/캐시백', '통신', '외식', '문화']"
133,신한카드 알뜰More(알뜰모아),['통신']
134,I-MILEAGE(대한항공),"['항공마일리지', '프리미엄', '카페/베이커리', '연회비지원']"
135,현대카드Z play,"['연회비지원', '쇼핑', '외식', '영화', '문화']"
136,삼성페이 삼성카드 taptap,"['간편결제', '통신', '영화', '언제나할인', '쇼핑']"
137,아메리칸 익스프레스 로즈골드 KB국민카드,"['연회비지원', '쇼핑', '카페/베이커리', '편의점', '대형마트', '레저']"
138,GOAT BC 바로카드,['포인트/캐시백']
139,카드의정석 EVERY MILE SKYPASS,"['연회비지원', '항공마일리지', '프리미엄']"
140,KT DC PLUS 롯데카드,['통신']
141,zgm shopping카드,"['쇼핑', '포인트/캐시백', '프리미엄']"
142,신한카드 Deep Store,"['연회비지원', '쇼핑', '대형마트', '포인트/캐시백', '영화', '카페/베이커리']"
143,신한카드 Globus,"['언제나할인', '포인트/캐시백']"
144,하나투어 삼성카드,"['레저', '통신', '렌탈', '관리비', '주유', '쇼핑', '카페/베이커리', '외식', '편의점', '프리미엄', '언제나할인']"
145,아메리칸 엑스프레스 리저브,"['바우처', '포인트/캐시백', '외식', '카페/베이커리', '영화']"
146,zgm.일본여행중카드,"['금융', '포인트/캐시백', '프리미엄', '레저']"
147,LOCA LIKIT Eat,"['연회비지원', '카페/베이커리', '쇼핑', '외식']"
148,NH농협 올바른NEW HAVE+ 카드,"['포인트/캐시백', '쇼핑', '외식', '대형마트', '문화', '통신', '대중교통', '카페/베이커리', '편의점', '프리미엄', '금융']"
149,카드의정석 TEN,"['연회비지원', '카페/베이커리', '편의점', '대중교통', '통신', '쇼핑', '외식', '간편결제']"
150,삼성 iD MOVE 카드,"['카페/베이커리', '편의점', '쇼핑', '레저', '대중교통', '통신', '문화']"
151,코웨이 IBK카드,['렌탈']
152,삼성 iD PLUG-IN 카드,"['주유', '오토', '금융', '문화', '쇼핑']"
153,KB국민 KB Pay 챌린지카드,['포인트/캐시백']
154,신한카드 Shopping,"['카페/베이커리', '주유', '대형마트', '쇼핑', '문화', '뷰티']"
155,KB국민 Easy Pick카드,"['대형마트', '주유', '쇼핑', '외식', '문화', '편의점', '오토', '카페/베이커리', '대중교통', '통신']"
156,삼성 iD ONE 카드,"['쇼핑', '대형마트', '주유', '관리비', '통신', '교육', '간편결제', '포인트/캐시백']"
157,모니모A 카드,"['연회비지원', '포인트/캐시백', '카페/베이커리', '쇼핑', '주유', '금융', '레저', '편의점', '의료', '반려동물', '교육', '영화', '간편결제', '대형마트', '외식', '통신', '렌탈', '육아', '문화', '뷰티']"
158,디지로카 Monaco,"['연회비지원', '언제나할인', '쇼핑', '간편결제', '바우처', '외식', '통신', '문화', '프리미엄', '렌탈', '금융', '의료', '뷰티', '레저', '영화', '편의점', '카페/베이커리', '육아', '교육', '대형마트', '오토', '주유']"
159,LG U+ X LOCA,['통신']
160,JADE First Centum,"['바우처', '레저', '쇼핑', '프리미엄', '포인트/캐시백', '주유', '오토']"
161,롤라카드,"['쇼핑', '주유', '대형마트', '카페/베이커리', '레저', '외식', '영화', '편의점', '프리미엄']"
162,LOCA LIKIT Play,"['연회비지원', '영화', '문화', '쇼핑', '주유']"
163,LOCA MONEY (로카 머니),['포인트/캐시백']
164,taptap SHOPPING,"['쇼핑', '문화']"
165,삼성카앤모아카드,"['주유', '오토', '영화', '카페/베이커리']"
166,아메리칸 익스프레스 블루 KB국민카드,"['연회비지원', '쇼핑', '카페/베이커리', '주유', '편의점', '통신', '문화', '레저', '외식', '언제나할인', '오토', '프리미엄']"
167,zgm.고향으로카드,['포인트/캐시백']
168,신한카드 Deep Making,"['연회비지원', '포인트/캐시백']"
169,롯데백화점 FLEX 카드,"['포인트/캐시백', '문화', '카페/베이커리', '프리미엄', '쇼핑', '대형마트', '통신', '주유', '편의점', '외식', '영화', '레저', '의료', '뷰티', '간편결제', '렌탈']"
170,쇼핑앤조이 카드,"['대중교통', '통신', '쇼핑', '간편결제', '카페/베이커리', '금융', '연회비지원']"
171,기업은행 Oil & Life카드 (Oil),"['주유', '레저', '통신', '오토', '바우처', '영화', '연회비지원']"
172,THE iD. TITANIUM (포인트),"['연회비지원', '포인트/캐시백', '바우처', '문화', '레저', '쇼핑', '프리미엄']"
173,삼성 BIZ iD BENEFIT 카드,"['언제나할인', '금융', '관리비', '쇼핑', '대형마트', '주유', '통신', '렌탈']"
174,NH농협 올바른하나로(Hanaro) 카드,"['대형마트', '의료', '대중교통', '카페/베이커리', '편의점', '문화', '영화', '레저', '프리미엄', '금융', '포인트/캐시백']"
175,쿠쿠 삼성카드,"['렌탈', '관리비', '통신']"
176,JADE First,"['바우처', '레저', '쇼핑', '프리미엄', '주유', '오토', '포인트/캐시백']"
177,zgm point카드,['포인트/캐시백']
178,카드의정석 EVERY POINT,"['연회비지원', '포인트/캐시백', '쇼핑', '카페/베이커리', '외식', '뷰티', '주유', '문화', '통신', '육아', '교육', '영화', '의료', '대형마트', '편의점', '대중교통', '렌탈', '간편결제']"
179,홈플러스 삼성카드,"['대형마트', '의료', '주유', '통신', '영화', '문화', '카페/베이커리']"
180,BC 바로 K-패스 카드,"['연회비지원', '대중교통', '편의점', '문화', '카페/베이커리', '통신', '언제나할인']"
181,삼성 iD AUTO 카드,"['주유', '하이패스', '오토', '언제나할인', '대형마트', '편의점', '외식', '쇼핑', '카페/베이커리', '영화']"
182,롯데마트&MAXX 카드,"['대형마트', '문화', '의료', '주유', '교육', '통신']"
183,LOCA LIKIT Shop,"['연회비지원', '쇼핑', '뷰티', '편의점']"
184,디지로카 Wellness,"['연회비지원', '뷰티', '의료', '레저', '납부 혜택']"
185,NH농협 SOHO 다사로이카드,"['관리비', '언제나할인', '쇼핑']"
186,LG U+-현대카드M Edition3(통신할인형2.0),"['통신', '포인트/캐시백']"
187,신한카드 My TeenS,['편의점']
188,삼성카드 BIZ LEADERS,"['언제나할인', '쇼핑', '주유', '대형마트', '금융', '관리비', '통신']"
189,SKT-현대카드M Edition3(통신할인형2.0),"['통신', '포인트/캐시백']"
190,IBK 국민행복카드,"['국민행복카드', '의료', '쇼핑', '교육', '레저', '대중교통', '통신', '육아', '카페/베이커리', '외식', '포인트/캐시백', '그린카드']"
191,현대카드X HYBRID,"['체크카드겸용', '포인트/캐시백']"
192,신한카드 Edu Plan+,"['연회비지원', '교육', '대형마트', '의료', '관리비', '통신', '영화']"
193,LOCA 100,"['언제나할인', '바우처', '쇼핑', '카페/베이커리', '외식', '레저', '문화', '편의점', '대형마트', '주유', '통신', '영화', '교육', '육아', '의료', '뷰티', '렌탈', '오토', '대중교통', '금융']"
194,KB국민 Easy on카드,"['레저', '외식', '쇼핑', '카페/베이커리', '편의점', '문화', '대중교통', '통신']"
195,삼성 iD POCKET 카드,"['대중교통', '편의점', '외식', '카페/베이커리']"
196,디지로카 Golf,"['연회비지원', '레저', '납부 혜택']"
197,트레이더스 신세계 삼성카드,"['대형마트', '쇼핑', '통신', '카페/베이커리', '교육', '의료']"
198,IBK i-ALL 카드,"['언제나할인', '쇼핑', '외식', '대형마트', '카페/베이커리', '편의점', '대중교통', '주유', '통신', '반려동물', '문화', '연회비지원']"
199,신한카드 The Classic+,"['바우처', '항공마일리지', '주유', '카페/베이커리', '프리미엄', '쇼핑']"
200,삼성 iD NOMAD 카드,"['바우처', '포인트/캐시백', '문화', '쇼핑', '영화', '외식', '프리미엄']"
201,KB국민 BeV V카드(스카이패스형),"['항공마일리지', '프리미엄', '바우처', '쇼핑', '문화', '금융', '레저']"
202,현대백화점 FIT카드,['쇼핑']
203,신한카드 Deep Once,"['연회비지원', '관리비', '문화', '렌탈']"
204,신세계 신백리워드 삼성카드,"['포인트/캐시백', '쇼핑', '대형마트', '영화', '레저', '오토']"
205,coway-현대카드M Edition3,"['렌탈', '포인트/캐시백']"
206,신한카드 Deep Taking,"['연회비지원', '포인트/캐시백']"
207,신한카드 LABE,"['레저', '항공마일리지', '프리미엄', '외식']"
208,NH농협 위 테라카드(포인트),"['포인트/캐시백', '바우처', '카페/베이커리', '프리미엄']"
209,NH농협 올바른MYPICK 카드,"['카페/베이커리', '대중교통', '외식', '편의점', '쇼핑', '문화', '주유', '레저', '오토', '의료', '뷰티', '영화', '프리미엄', '금융', '포인트/캐시백']"
210,LOCA PLATINUM(마일리지형),"['항공마일리지', '바우처', '프리미엄']"
211,신한카드 Air Platinum#,"['항공마일리지', '주유', '프리미엄', '쇼핑', '오토']"
212,신한카드 The PET,"['반려동물', '쇼핑']"
213,싱가포르항공 크리스플라이어 더 베스트 신한카드,"['항공마일리지', '프리미엄']"
214,zgm.play카드,"['쇼핑', '문화', '통신', '레저', '대중교통', '영화', '카페/베이커리', '외식', '뷰티', '편의점']"
215,NH농협 올바른OIL카드,"['주유', '카페/베이커리', '편의점', '대중교통', '오토']"
216,현대카드 대한항공카드 060,"['항공마일리지', '프리미엄', '바우처', '간편결제']"
217,신한카드 Deep Once Plus,"['연회비지원', '관리비', '문화', '카페/베이커리', '렌탈']"
218,Mile 1.6 대한항공,"['항공마일리지', '카페/베이커리', '영화']"
219,삼성 iD VITA 카드,"['쇼핑', '언제나할인', '의료', '금융', '대형마트', '렌탈', '통신']"
220,원더카드 T,"['통신', '주유', '쇼핑', '대형마트', '대중교통', '언제나할인']"
221,하나 스카이패스 아멕스 플래티늄,"['항공마일리지', '프리미엄']"
222,IBK 그린카드 v2,"['포인트/캐시백', '대중교통', '카페/베이커리', '쇼핑', '관리비', '영화', '레저']"
223,NH올원 쇼핑&TLC카드,"['렌탈', '레저', '카페/베이커리', '영화']"
224,원더카드 DAILY,"['대중교통', '편의점', '문화', '쇼핑']"
225,디지로카 Pet,"['연회비지원', '반려동물', '납부 혜택']"
226,kt SUPER 카드,"['통신', '주유']"
227,NH올원 Rental&코웨이카드,"['렌탈', '레저']"
228,현대카드 대한항공카드 300,"['항공마일리지', '프리미엄', '바우처', '간편결제']"
