,cardId,cardName,annualfee,pervSales,Benefits,Detail_summ_name,Details_summary
11,11,현대 아멕스 골드 카드 Edition2,"국내 30만원, 해외 30만원",직전 1개월 합계 50만원 이상,직전 1개월 합계 50만원 이상,"['연회비지원', '포인트/캐시백', '바우처', '프리미엄', '레저', '외식', '대중교통']","['신규 회원 Welcome 이벤트', '최대 3 멤버십 리워즈(MR) 적립\n대상점 이용 금액 1천원당', '25만원 상당 바우처 제공\n국내 트래블·패션/뷰티 영역', 'The Hotel Collection\n객실 업그레이드·호텔 크레딧 제공\n전 세계 공항 라운지 무료 이용\n공항·호텔 발레파킹 서비스\n메탈 플레이트 제공', '이용 금액 1천원당 3MR 적립\n해외/호텔/여행·항공사/골프/면세점', 'Be My Guest 할인\n호텔 델리/레스토랑·패밀리 레스토랑', '공항 리무진·철도 티켓 무료 제공']"
12,12,LOCA 365,"국내 2만원, 해외 2만원, 가족 1만3천원",직전 1개월 합계 50만원 이상,직전 1개월 합계 50만원 이상,"['연회비지원', '관리비', '통신', '대중교통', '외식', '금융', '교육', '문화']","['신규회원 연회비 100% 캐시백이벤트\n롯데카드 온라인 신청 특별 혜택', 'LOCA 365로 매달 나가는\n관리비, 공과금 10% 결제일 할인', '이동통신비 10% 결제일 할인\n이동통신비 2~3개월 무이자 할부', '대중교통 10% 결제일 할인', '배달앱 10% 결제일 할인\n배달앱 2~3개월 무이자 할부', '보험료 10% 결제일 할인\n보험료 2~3개월 무이자 할부', '학습지 10% 결제일 할인\n학습지 2~3개월 무이자 할부', '스트리밍 서비스 1,500원 할인\n스트리밍 2~3개월 무이자 할부']"
13,13,LOCA CLASSIC (로카 클래식),"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 1백50만원 이상,직전 1개월 합계 1백50만원 이상,"['연회비지원', '카페/베이커리', '외식', '레저', '문화', '편의점', '대형마트', '주유', '통신', '영화', '교육', '육아', '의료', '뷰티', '렌탈', '오토', '금융', '대중교통', '언제나할인', '쇼핑']","['신규회원 연회비 100% 캐시백이벤트\n롯데카드 온라인 신청 특별 혜택', '커피/베이커리 최대 1% 결제일 할인', '외식 업종 최대 1% 결제일 할인', '레저 업종 최대 1% 결제일 할인', '문화 업종 최대 1% 결제일 할인', '편의점 업종 최대 1% 결제일 할인', '대형마트 업종 최대 1% 결제일 할인', '주유소 업종 최대 1% 결제일 할인', '이동통신 업종 최대 1% 결제일 할인', '영화관 최대 1% 결제일 할인', '교육 업종 최대 1% 결제일 할인', '육아 업종 최대 1% 결제일 할인', '의료 업종 최대 1% 결제일 할인', '뷰티 업종 최대 1% 결제일 할인', '렌탈 서비스 최대 1% 결제일 할인', '오토 서비스 최대 1% 결제일 할인', '금융 업종 최대 1% 결제일 할인', '대중교통 업종 최대 1% 결제일 할인', '국내외 가맹점에서 최대 1% 할인\n전월실적 없이 0.5% 할인은 기본!', '쇼핑 업종 최대 1% 결제일 할인']"
14,14,KB국민 굿데이카드,"국내 5천원, 해외 1만원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['주유', '통신', '대중교통', '외식', '의료', '교육', '카페/베이커리', '편의점', '레저']","['주유소 및 충전소 리터당 60원 할인', '전화·인터넷·케이블TV 10% 할인', '버스, 지하철, 택시 10% 할인', '음식점, 레스토랑, 주점 10% 할인', '약국 업종 이용시 10% 할인', '학원부터 독서실 업종까지 10% 할인', '스타벅스,커피빈 등 카페 10% 할인', 'CU, GS25 등 편의점 10%할인', '종합스포츠센터, 헬스장 10% 할인']"
15,15,우리 K-패스,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '대중교통', '통신', '관리비', '렌탈', '교육', '금융', '대형마트', '카페/베이커리', '간편결제', '레저']","['온라인 신규 연회비 100% 캐시백', '버스, 지하철 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '통신비 자동납부 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '공과금 자동납부 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '렌탈비 자동납부 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '학습지 자동납부 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '보험료 자동납부 10% 청구할인\n생활 편의 서비스 할인한도\n할인 제공 시 유의사항\n실적 산정 방법 안내', '대형할인점업종 최대 2천원 청구할인\n생활 밀착 서비스\n실적 산정 방법 안내', '스타벅스 10% 청구할인\n생활 밀착 서비스\n실적 산정 방법 안내', '페이코포인트 1% 적립\n생활 밀착 서비스\n실적 산정 방법 안내', '주요 놀이공원 자유이용권50%현장할인\n생활 밀착 서비스\n실적 산정 방법 안내']"
16,16,국민행복 삼성카드 V2,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['국민행복카드', '쇼핑', '의료', '교육', '주유', '관리비', '통신', '렌탈', '금융', '문화']","['바우처지원 및 쇼핑,의료,주유7%할인', '백화점·할인점·온라인쇼핑몰 등\n쇼핑 7% 할인\n해외 1.5% 할인\n신세계백화점 제휴 서비스', '산후조리원 7% 할인', '학원·학습지·온라인서점\n어린이집·유치원 7% 할인', '주유 7% 할인', '아파트 관리비·도시가스요금·전기요금\n자동납부 연결 시 7% 할인', '통신 자동납부 연결시 7% 할인', '렌탈 자동납부 연결시 7% 할인', '보험 자동납부 연결시 7% 할인', '스트리밍 3,000원 할인']"
17,17,신한카드 Point Plan,"국내 2만원, 해외 2만3천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,직전 1개월 합계 40만원 이상,"['연회비지원', '관리비', '통신', '외식', '포인트/캐시백']","['신규 고객 연회비 100% 캐시백!\n신규 회원이면 참여 가능!', '도시가스/전기요금 자동납부 포인트적립', '이동통신요금 자동납부 포인트 적립', '주말 외식비 결제 시 포인트 적립', '일상 생활비 적립 서비스\n해외 결제금액 1% 포인트 적립\n5,12월 적립한도 1만포인트추가제공']"
18,18,롯데 국민행복카드,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['국민행복카드', '대중교통', '육아', '교육', '의료', '쇼핑', '대형마트', '편의점', '외식', '카페/베이커리', '뷰티', '레저', '영화', '통신']","['임신·출산 진료비 100만원 지원\n첫만남 이용권 지원\n청소년산모 임신·출산 의료비 지원\n보육료·유아학비 지원(아이행복카드)\n산모·신생아 건강관리 지원사업\n아이돌봄 지원사업', '택시·시내버스·지하철 10% 청구할인', '키자니아 30% 청구할인\n유원지, 놀이시설 10% 청구할인\n출산육아 특별 서비스', '보육료·유아학비 10% 청구할인\n학원, 학습지 10% 청구할인', '병원·약국·산후조리원 5% 청구할인', '쇼핑 5% 청구할인\n토이저러스 청구할인, 무이자할부 혜택\n롯데백화점 현장할인 혜택\n롯데면세점 현장할인 혜택', '롯데마트 5% 청구할인 & 무이자할부\n롯데슈퍼 3% 청구할인 & 무이자할부\n롯데마트 우리아이M클럽 서비스', '세븐일레븐 10% 현장할인', ""T.G.I.FRiDAY'S 현장할인\n미스터피자 15% 현장할인\n롯데리아 1천원당 50원 현장할인"", '엔제리너스, 나뚜루 현장할인\n보네스뻬브래드 10% 현장할인', '박준뷰티랩·박승철헤어스투디오 현장할인', '롯데월드 50% 현장할인\n서울랜드 30% 현장할인', '롯데시네마 영화 관람료 청구할인', '이동통신요금 2천원 청구할인']"
19,19,KB국민 My WE:SH 카드,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,직전 1개월 합계 40만원 이상,"['연회비지원', '편의점', '외식', '통신', '대중교통', '문화', '카페/베이커리', '레저', '뷰티', '영화', '쇼핑', '간편결제']","['온라인신규신청 연회비 100% 캐시백\n홈페이지 내 신용카드 최초 발급 시', 'GS25, CU 최대 20% 할인', '패밀리레스토랑등 음식점 최대20%할인\n배달의민족등 배달앱 최대 15% 할인', 'SKT,KT,LGU+등 10% 할인', '택시 5% 할인', '넷플릭스, 티빙 등 OTT 30%할인\n교보문고등 온라인서점 최대15% 할인', '카페 최대 15% 할인', '종합스포츠센터,골프장등 최대15%할인', '미용실 최대 15% 할인', 'CGV등 영화관 최대 40% 할인', '마켓컬리 최대 15% 할인\n올리브영 최대 15% 할인', 'KB Pay 10% 할인']"
20,20,네이버페이 taptap,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['간편결제', '포인트/캐시백']","['네이버페이 간편결제 10%적립\n일상팩·온라인팩 선택해서 적립', '일상팩 커피·편의점·배달앱 5%적립\n온라인팩 간편결제 시 3천P 추가적립\n온오프라인 0.5% 네이버페이 적립']"
21,21,디지로카 London,"국내 2만원, 해외 2만원, 가족 1만3천원",조건없음,조건없음,"['연회비지원', '포인트/캐시백', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '쇼핑', '육아', '통신', '교육', '대형마트', '오토', '주유', '납부 혜택']","['신규회원 연회비 100% 캐시백이벤트\n롯데카드 온라인 신청 특별 혜택', '실적·한도 없이 최대 1.7% 캐시백', '렌탈 업종 최대 1.7% 캐시백', '금융 업종 최대 1.7% 캐시백', '의료 업종 최대 1.7% 캐시백', '뷰티 업종 최대 1.7% 캐시백', '레저 업종 최대 1.7% 캐시백', '문화 업종 최대 1.7% 캐시백', '영화 최대 1.7% 캐시백', '편의점 최대 1.7% 캐시백', '외식 관련 업종 최대 1.7% 캐시백', '카페·베이커리 최대 1.7% 캐시백', '쇼핑 업종 최대 1.7% 캐시백', '영·유아 업종 최대 1.7% 캐시백', '통신비 최대 1.7% 캐시백', '교육비 최대 1.7% 캐시백', '대형마트 최대 1.7% 캐시백', '오토 관련 업종 최대 1.7% 캐시백', '주유비 최대 1.7% 캐시백', '이용 금액에 따라 최대 6개월 나누기\n추가 수수료 없는 납부 혜택!']"
22,22,LOCA LIKIT 1.2,"국내 1만원, 해외 1만원, 가족겸용 없음",조건없음,조건없음,"['연회비지원', '카페/베이커리', '쇼핑', '뷰티', '편의점', '주유', '외식', '영화', '통신', '교육', '육아', '레저', '문화', '의료', '간편결제', '렌탈', '대형마트', '언제나할인']","['신규회원 연회비 100% 캐시백이벤트\n롯데카드 온라인 신청 특별 혜택', '카페/베이커리 업종 1.2% 결제일\n온라인 결제 시 1.5% 결제일 할인', '쇼핑 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '뷰티 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '편의점 1.2% 결제일 할인', '주유소 1.2% 결제일 할인', '외식 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '영화관 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '이동통신 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '교육비 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '육아 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '레저 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '문화 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '의료 업종 1.2% 결제일 할인', '간편결제 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '렌탈 업종 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '대형마트 1.2% 결제일 할인\n온라인 결제 시 1.5% 결제일 할인', '국내외 가맹점 1.2% 결제일 할인\n온라인 결제는 1.5% 결제일 할인']"
23,23,디지로카 Las Vegas,"국내 2만원, 해외 2만원, 가족 1만3천원",조건없음,조건없음,"['연회비지원', '언제나할인', '렌탈', '금융', '의료', '뷰티', '레저', '문화', '영화', '편의점', '외식', '카페/베이커리', '쇼핑', '육아', '통신', '교육', '대형마트', '오토', '주유', '납부 혜택']","['신규회원 연회비 100% 캐시백이벤트\n롯데카드 온라인 신청 특별 혜택', '국내외 가맹점 최대 2% 결제일 할인', '렌탈 업종 최대 2% 할인', '금융 업종 최대 2% 할인', '의료 업종 최대 2% 할인', '뷰티 업종 최대 2% 할인', '레저 업종 최대 2% 할인', '문화 업종 최대 2% 할인', '영화 업종 최대 2% 할인', '편의점 업종 최대 2% 할인', '외식 업종 최대 2% 할인', '카페·베이커리 최대 2% 할인', '쇼핑 업종 최대 2% 할인', '영·유아 업종 최대 2% 할인', '통신비 최대 2% 할인', '교육비 최대 2% 할인', '대형마트 최대 2% 할인', '오토 관련 업종 최대 2% 할인', '주유비 최대 2% 할인', '국내 가맹점 2~3개월 무이자 할부']"
24,24,메리어트 본보이™ 더 베스트 신한카드,"국내 26만4천원, 해외 26만7천원, 가족 5만원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['프리미엄', '포인트/캐시백']","['1박 무료 숙박권 제공 (연 1회)\n메리어트 본보이™ 엘리트 멤버십 제공\n엘리트 숙박 크레딧 10개 제공\n국내 메리어트 참여 호텔 조식 할인\n공항 라운지 무료 이용 (연 4회)', '메리어트 본보이™ 포인트 적립 서비스\n특별 적립 및 일반 적립\n메리어트 본보이™ 보너스 포인트 제공']"
25,25,KB국민 청춘대로 톡톡카드,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['연회비지원', '카페/베이커리', '외식', '통신', '대중교통', '간편결제', '쇼핑', '영화', '편의점', '주유', '대형마트', '레저', '문화', '뷰티']","['온라인신규신청 연회비 100% 캐시백\n홈페이지 내 신용카드 최초 발급 시', '스타벅스 최대60% 할인\n간편결제 이용 시,\n카페/베이커리 10%할인', '버거/패스트푸드 최대 30% 할인!\n간편결제 이용시, 외식업종 10%할인', '3대 통신사 통신요금 10% 할인', '버스, 지하철, 택시 10% 할인', '간편결제 이용 시 10%할인', '간편결제 이용시, 쇼핑업종 10%할인', '간편결제 이용시, 영화관 10% 할인', '간편결제 이용시, 편의점 10% 할인', '간편결제 이용시, 주유소 10% 할인', '간편결제 이용시, 대형마트 10%할인', '간편결제 이용시, 놀이공원 10%할인', '간편결제 이용시, 문화업종 10%할인', '간편결제 이용시 뷰티업종 10%할인']"
26,26,KB국민 The Easy카드,"국내 1만5천원, 해외 1만5천원",조건없음,조건없음,"['연회비지원', '편의점', '카페/베이커리', '주유', '교육', '뷰티', '통신', '관리비', '포인트/캐시백', '대형마트']","['온라인신규신청 연회비 100% 캐시백\n홈페이지 내 신용카드 최초 발급 시', '최대3.7%적립 또는 최대5.7%할인', '최대3.7%적립 또는 최대5.7%할인', '최대3.7%적립 또는 최대5.7%할인', '최대3.7%적립 또는 최대5.7%할인', '최대3.7%적립 또는 최대5.7%할인', '최대3.7%적립 또는 최대5.7%할인', '아파트관리비 0.7%적립 또는 할인\n3% 추가적립 또는 5% 추가할인', '국내외 가맹점 0.7%적립 또는 할인\n3% 추가적립 또는 5% 추가할인', '최대3.7%적립 또는 최대5.7%할인']"
27,27,신한카드 RPM+ Platinum#,"국내 3만2천원, 해외 3만5천원",직전 1개월 합계 50만원 이상,직전 1개월 합계 50만원 이상,"['연회비지원', '주유', '프리미엄', '쇼핑', '오토', '대형마트', '대중교통', '편의점', '포인트/캐시백']","['신규 고객 연회비 100% 캐시백!\n신규 회원이면 참여 가능!', '모든 주유소 리터당 40~150P적립\n모든 충전소 리터당 10~50P 적립', '인천공항 발렛파킹 무료 서비스\n전국 40개 호텔 레스토랑,객실 할인\n인천공항 무료 커피, 레스토랑 할인\n1일 무료 주차 서비스', '롯데/현대백화점 이용금액 1~5%적립\n홈쇼핑/온라인몰 이용금액 1~5%적립', '전국 차량정비소/타이어샵 1~5%적립', '롯데마트/이마트/홈플러스 1~5%적립', '택시 이용금액 1~5% 포인트 적립', '전국 편의점 1~5% 포인트 적립', '모든 가맹점 0.2~2% 포인트적립']"
28,28,현대카드 MX Black Edition2,"국내 20만원, 해외 20만원",직전 1개월 합계 50만원 이상,직전 1개월 합계 50만원 이상,"['연회비지원', '포인트/캐시백', '프리미엄', '쇼핑', '카페/베이커리', '편의점', '주유', '대중교통', '대형마트', '통신', '외식', '영화', '뷰티', '레저', '문화', '렌탈', '교육', '의료']","['신규회원 Welcome 이벤트', '국내외 가맹점 1% M포인트 적립\nM포인트 사용', 'THE LOUNGE 서비스 제공\n공항 및 특급호텔 발레파킹 무료 이용\n메탈 플레이트 제공', '온라인 쇼핑 영역 10% 할인\n백화점 영역 10% 할인\n쇼핑 업종 1% M포인트 적립', '커피/베이커리 영역 10% 할인\n카페/베이커리 1% M포인트 적립', '편의점 영역 10% 할인\n편의점 1% M포인트 적립', '주유소 영역 10% 할인\n주유소 1% M포인트 적립', '대중교통 영역 10% 할인\n대중교통 1% M포인트 적립', '대형마트 1% M포인트 적립', '통신 업종 1% M포인트 적립', '외식 업종 1% M포인트 적립', '영화관 1% M포인트 적립', '뷰티 업종 1% M포인트 적립', '레저 업종 1% M포인트 적립', '도서/공연 1% M포인트 적립', '렌탈 업종 1% M포인트 적립', '교육 업종 1% M포인트 적립', '의료 업종 1% M포인트 적립']"
29,29,KB국민 굿데이올림카드,"국내 1만5천원, 해외 2만원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['교육', '주유', '통신', '대형마트', '외식', '대중교통', '카페/베이커리', '편의점', '의료', '레저', '포인트/캐시백']","['10% 청구할인\n학원 업종 및 독서실 업종 이용 시', '주유가맹점에서 리터당 60원 청구할인\nSK, GS칼텍스 등', '10% 청구할인\n전화요금,인터넷,케이블TV 업종에서', '대형마트에서 10% 청구할인\n이마트,롯데마트,홈플러스 등', '외식업종 이용 시 10% 할인\n음식점,레스토랑,주점,휴게음식점 등', '10% 청구할인\n대중교통(버스,지하철), 택시 이용시', '커피전문점 이용 시 10% 청구할인\n스타벅스,커피빈 등', '편의점 이용 시 10% 청구할인\nCU,GS25,미니스톱등', '10% 청구할인\n모든 약국 업종 이용 시', '10% 청구할인\n종합스포츠센터 업종 이용 시', '5% 할인 캐시백\n해외이용(해외직구) 금액']"
30,30,기업은행 BLISS.5 카드,"국내 9만원, 해외 10만원",직전 1개월 합계 30만원 이상,직전 1개월 합계 30만원 이상,"['항공마일리지', 'Priority Pass', '프리미엄', '바우처']","['대한항공 1,500원당 1마일리지적립\nTOP포인트 1,500원당 10포인트', '공항라운지 무료 이용서비스\nTHE LOUNGE\nPriority Pass Card', 'Premium 서비스', 'Voucher 서비스 종류 (택1)']"
