cardId,annualfee,pervSales,performId
28,"국내 3만2천원, 해외 3만5천원",직전 1개월 합계 50만원 이상,28
29,"국내 20만원, 해외 20만원",직전 1개월 합계 50만원 이상,29
30,"국내 1만5천원, 해외 2만원",직전 1개월 합계 30만원 이상,30
31,"국내 9만원, 해외 10만원",직전 1개월 합계 30만원 이상,31
32,"국내 20만원, 해외 20만원",직전 1개월 합계 50만원 이상,32
33,"국내 4만3천원, 해외 4만5천원",직전 1개월 합계 50만원 이상,33
34,"국내 2만원, 해외 2만원",직전 1개월 합계 30만원 이상,34
35,"국내 4만9천원, 해외 5만1천원",직전 1개월 합계 50만원 이상,35
36,"국내 7만원, 해외 7만원, 가족 2만원",직전 1개월 합계 50만원 이상,36
37,"국내 30만원, 해외 30만원, 가족 5만원",조건없음,37
38,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,38
39,"국내 1만원, 해외 1만3천원",조건없음,39
40,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,40
41,"국내 1만2천원, 해외 1만2천원",조건없음,41
42,"국내 1만5천원, 해외 2만원",직전 1개월 합계 30만원 이상,42
43,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,43
44,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,44
45,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,45
46,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,46
47,"해외 1만8천원, 가족겸용 없음",직전 1개월 합계 30만원 이상,47
48,"국내 1만원, 해외 1만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,48
49,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,49
50,"국내 3만원, 해외 3만원",직전 1개월 합계 30만원 이상,50
51,"국내 1만원, 해외 1만원",조건없음,51
52,"국내 7천원, 해외 1만원",직전 1개월 합계 30만원 이상,52
53,"국내 2만원, 해외 2만원, 가족 5천원",직전 1개월 합계 50만원 이상,53
54,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,54
55,"국내 1만5천원, 해외 1만5천원",조건없음,55
56,"국내 1만원, 해외 1만2천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,56
57,"국내 2만원, 해외 2만원, 가족겸용 없음",조건없음,57
58,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,58
59,"국내 1만원, 해외 1만3천원",직전 1개월 합계 30만원 이상,59
60,"국내 2만5천원, 해외 2만5천원",직전 1개월 합계 30만원 이상,60
61,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,61
62,"국내 1만9천9백원, 해외 1만9천9백원, 가족겸용 없음",직전 1개월 합계 40만원 이상,62
63,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 40만원 이상,63
64,"국내 5천원, 해외 1만원",직전 1개월 합계 30만원 이상,64
65,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,65
66,"국내 29만5천원, 해외 30만원, 가족 3만원",직전 1개월 합계 50만원 이상,66
67,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,67
68,"국내 1만원, 해외 1만2천원",직전 1개월 합계 50만원 이상,68
69,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,69
70,"국내 5천원, 해외 5천원",직전 1개월 합계 15만원 이상,70
71,"국내 7천원, 해외 7천원",조건없음,71
72,"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,72
73,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 20만원 이상,73
74,"국내 1만5천원, 해외 1만5천원, 가족 5천원",조건없음,74
75,"국내 3만원, 해외 3만3천원",직전 1개월 합계 30만원 이상,75
76,"국내 2만5천원, 해외 2만5천원",조건없음,76
77,"국내 1만2천원, 해외 1만2천원",조건없음,77
78,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,78
79,해외 1만원,직전 1개월 합계 30만원 이상,79
80,"국내 21만5천원, 해외 22만원",직전 1개월 합계 50만원 이상,80
81,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,81
82,"국내 50만원, 해외 50만원",직전 1개월 합계 50만원 이상,82
83,"국내 1만2천원, 해외 1만4천원",직전 1개월 합계 30만원 이상 70만원 이하,83
84,"국내 9만7천원, 해외 9만9천원",직전 1개월 합계 50만원 이상,84
85,"국내 2만7천원, 해외 3만원",직전 1개월 합계 40만원 이상,85
86,"국내 1만원, 해외 1만5천원, 가족겸용 없음",직전 1개월 합계 30만원 이상,86
87,해외 1만5천원,직전 1개월 합계 30만원 이상,87
88,"국내 8천원, 해외 8천원",직전 1개월 합계 30만원 이상,88
89,"국내 2만원, 해외 2만원",직전 1개월 합계 30만원 이상,89
90,해외 2만원,직전 3개월 평균 30만원 이상,90
91,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,91
92,"국내 3만원, 해외 3만원",당월 합계 50만원 이상,92
93,"국내 1만2천원, 해외 1만5천원",직전 1개월 합계 50만원 이상,93
94,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,94
95,"국내 5천원, 해외 1만원",직전 1개월 합계 30만원 이상,95
96,"국내 2만원, 해외 2만원, 가족 5천원",직전 1개월 합계 50만원 이상,96
97,"국내 5만원, 해외 5만원, 가족 2만원",직전 1개월 합계 50만원 이상,97
98,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,98
99,"국내 5천원, 해외 5천원, 가족겸용 없음",조건없음,99
100,"국내 2만원, 해외 2만원, 가족 1만3천원",조건없음,100
101,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,101
102,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,102
103,"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 30만원 이상,103
104,"국내 1만9천원, 해외 2만2천원",직전 1개월 합계 40만원 이상,104
105,"국내 3만원, 해외 3만원",당월 합계 50만원 이상,105
106,국내 2천원,조건없음,106
107,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,107
108,"국내 2만5천원, 해외 2만5천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,108
109,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,109
110,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,110
111,"국내 5천원, 해외 1만원, 가족겸용 없음",직전 1개월 합계 30만원 이상,111
112,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,112
113,"국내 2만원, 해외 2만원, 가족 1만3천원",직전 1개월 합계 50만원 이상,113
114,"국내 15만원, 해외 15만원, 가족겸용 없음",직전 1개월 합계 50만원 이상 1백만원 이하,114
115,"국내 3만2천원, 해외 3만5천원",직전 1개월 합계 40만원 이상,115
116,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,116
117,"국내 5천원, 해외 7천원",직전 1개월 합계 30만원 이상,117
118,"국내 1만원, 해외 1만원",직전 1개월 합계 40만원 이상,118
119,"국내 1만원, 해외 1만2천원",조건없음,119
120,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,120
121,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,121
122,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,122
123,"국내 2만원, 해외 2만원, 가족 1만원",직전 1개월 합계 50만원 이상,123
124,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 40만원 이상,124
125,"국내 3만원, 해외 3만원",직전 1개월 합계 50만원 이상,125
126,해외 1만5천원,조건없음,126
127,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,127
128,"국내 1만5천원, 해외 2만원",조건없음,128
129,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 40만원 이상,129
130,"국내 5만원, 해외 5만5천원",직전 1개월 합계 50만원 이상,130
131,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 40만원 이상,131
132,"국내 3만원, 해외 3만3천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,132
133,"국내 2만원, 해외 2만3천원",직전 1개월 합계 40만원 이상,133
134,"국내 4만1천원, 해외 4만2천원",직전 1개월 합계 50만원 이상,134
135,"국내 2만원, 해외 2만원, 가족 5천원",직전 1개월 합계 50만원 이상,135
136,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,136
137,"국내 1만9천원, 해외 1만9천원",직전 1개월 합계 30만원 이상,137
138,"국내 1만2천원, 해외 1만2천원, 가족겸용 없음",조건없음,138
139,"국내 3만9천원, 해외 3만9천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,139
140,"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,140
141,"국내 5만원, 해외 5만5천원",직전 1개월 합계 50만원 이상,141
142,"국내 1만3천원, 해외 1만6천원",직전 1개월 합계 30만원 이상,142
143,"국내 2만2천원, 해외 2만5천원",직전 1개월 합계 30만원 이상,143
144,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,144
145,해외 15만원,직전 1개월 합계 1백만원 이상,145
146,"국내 2만3천원, 해외 2만5천원",직전 1개월 합계 30만원 이상,146
147,"국내 1만원, 해외 1만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,147
148,"국내 2만3천원, 해외 2만5천원",조건없음,148
149,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 40만원 이상,149
150,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,150
151,"국내 1만2천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,151
152,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,152
153,"국내 1만5천원, 해외 1만5천원",조건없음,153
154,"국내 2만원, 해외 2만3천원",직전 1개월 합계 50만원 이상,154
155,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,155
156,"국내 5만원, 해외 5만원",직전 1개월 합계 50만원 이상,156
157,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,157
158,"국내 12만5천원, 해외 12만5천원, 가족 2만원",직전 1개월 합계 1백만원 이상,158
159,"국내 2만원, 해외 2만원",직전 1개월 합계 30만원 이상,159
160,"국내 99만5천원, 해외 100만원, 가족 10만원",직전 1개월 합계 50만원 이상,160
161,"국내 1만5천원, 해외 1만5천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,161
162,"국내 1만원, 해외 1만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,162
163,"국내 2만원, 해외 2만원, 가족겸용 없음",조건없음,163
164,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,164
165,"국내 8천원, 해외 1만원, 가족 5천원",직전 1개월 합계 20만원 이상,165
166,"국내 1만9천원, 해외 1만9천원",직전 1개월 합계 30만원 이상,166
167,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 40만원 이상,167
168,"국내 3만원, 해외 3만원",직전 1개월 합계 40만원 이상,168
169,"국내 10만원, 해외 10만원, 가족겸용 없음",직전 1개월 합계 50만원 이상,169
170,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,170
171,"국내 5천원, 해외 7천원",직전 1개월 합계 30만원 이상,171
172,"국내 69만5천원, 해외 70만원",직전 1개월 합계 50만원 이상,172
173,"국내 3만원, 해외 3만원",직전 1개월 합계 50만원 이상,173
174,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,174
175,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,175
176,"국내 59만5천원, 해외 60만원, 가족 5만원",직전 1개월 합계 50만원 이상,176
177,"국내 5만원, 해외 5만5천원, 가족 4만4천원",조건없음,177
178,"국내 1만2천원, 해외 1만2천원",조건없음,178
179,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,179
180,"국내 6천원, 해외 6천원, 가족겸용 없음",직전 1개월 합계 30만원 이상,180
181,"국내 4만9천원, 해외 4만9천원",직전 1개월 합계 50만원 이상,181
182,"국내 1만8천원, 해외 2만원, 가족 1만3천원",직전 1개월 합계 50만원 이상,182
183,"국내 1만원, 해외 1만원, 가족겸용 없음",직전 1개월 합계 40만원 이상,183
184,"국내 3만원, 해외 3만원",당월 합계 50만원 이상,184
185,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 50만원 이상,185
186,"국내 2만원, 해외 2만원, 가족 1만원",직전 1개월 합계 50만원 이상,186
187,국내 1천원,직전 1개월 합계 20만원 이상,187
188,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,188
189,"국내 2만원, 해외 2만원, 가족 1만원",직전 1개월 합계 50만원 이상,189
190,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 30만원 이상,190
191,국내 2천원,조건없음,191
192,"국내 4만원, 해외 4만3천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,192
193,"국내 2만원, 해외 2만원, 가족겸용 없음",직전 1개월 합계 75만원 이상,193
194,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,194
195,국내 1천원,직전 1개월 합계 10만원 이상,195
196,"국내 3만원, 해외 3만원",당월 합계 50만원 이상,196
197,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,197
198,"국내 1만4천원, 해외 1만5천원, 가족겸용 없음",조건없음,198
199,"국내 12만원, 해외 12만5천원, 가족 3만원",직전 1개월 합계 30만원 이상,199
200,"국내 4만7천원, 해외 4만9천원",직전 1개월 합계 50만원 이상,200
201,"국내 29만5천원, 해외 30만원",직전 1개월 합계 50만원 이상,201
202,"국내전용 없음, 해외겸용 없음, 가족겸용 없음",조건없음,202
203,"국내 2만원, 해외 2만3천원",직전 1개월 합계 40만원 이상,203
204,"국내 2만원, 해외 2만원",직전 1개월 합계 30만원 이상,204
205,"국내 3만원, 해외 3만원, 가족 1만원",직전 1개월 합계 50만원 이상,205
206,"국내 2만원, 해외 2만원",직전 1개월 합계 40만원 이상,206
207,"국내 19만7천원, 해외 20만원",직전 1개월 합계 50만원 이상,207
208,해외 49만5천원,직전 1개월 합계 50만원 이상,208
209,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,209
210,"국내 10만원, 해외 10만원, 가족겸용 없음",조건없음,210
211,"국내 3만7천원, 해외 4만원",직전 1개월 합계 30만원 이상,211
212,"국내 2만원, 해외 2만3천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,212
213,"국내 24만7천원, 해외 25만원",직전 1개월 합계 50만원 이상,213
214,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,214
215,해외 1만5천원,직전 1개월 합계 30만원 이상,215
216,"국내 6만원, 해외 6만원, 가족 2만원",직전 1개월 합계 50만원 이상,216
217,"국내 2만7천원, 해외 3만원",직전 1개월 합계 40만원 이상,217
218,"해외 4만5천원, 가족 1만원",조건없음,218
219,"국내 2만원, 해외 2만원",직전 1개월 합계 50만원 이상,219
220,"국내 1만9천9백원, 해외 1만9천9백원, 가족겸용 없음",직전 1개월 합계 40만원 이상,220
221,"국내 4만5천원, 해외 4만5천원, 가족 2만원",조건없음,221
222,"국내 1만원, 해외 1만2천원",직전 1년 합계 20만원 이상,222
223,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,223
224,"국내 1만9천9백원, 해외 1만9천9백원, 가족겸용 없음",직전 1개월 합계 40만원 이상,224
225,"국내 3만원, 해외 3만원",당월 합계 50만원 이상,225
226,"국내 2만5천원, 해외 2만7천원",직전 1개월 합계 30만원 이상,226
227,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,227
228,"국내 30만원, 해외 30만원, 가족 10만원",직전 1개월 합계 50만원 이상,228
229,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,229
230,"국내 2만원, 해외 2만원",직전 1개월 합계 30만원 이상,230
231,"국내 1만2천원, 해외 1만4천원",직전 1개월 합계 40만원 이상,231
232,"국내 1만9천원, 해외 1만9천원",조건없음,232
233,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,233
234,"국내 100만원, 해외 100만원",직전 1개월 합계 50만원 이상,234
235,"국내 2만원, 해외 2만원, 가족 5천원",직전 1개월 합계 50만원 이상,235
236,"국내 12만원, 해외 12만원, 가족 3만원",직전 1개월 합계 50만원 이상,236
237,"국내 2천원, 해외 4천원",직전 1개월 합계 20만원 이상,237
238,"해외 15만원, 가족 2만원",직전 1개월 합계 50만원 이상,238
239,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,239
240,"국내 1만원, 해외 1만원",조건없음,240
241,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,241
242,"국내 3만원, 해외 3만원",직전 1개월 합계 30만원 이상,242
243,"국내 1만2천원, 해외 1만2천원, 가족겸용 없음",당월 합계 30만원 이상,243
244,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 40만원 이상,244
245,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,245
246,"국내 1만원, 해외 1만원, 가족 5천원",직전 1개월 합계 50만원 이상,246
247,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,247
248,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,248
249,"국내 15만원, 해외 15만원, 가족 5만원",직전 1개월 합계 50만원 이상,249
250,"국내전용 없음, 해외겸용 없음, 가족겸용 없음",조건없음,250
251,"국내 1만5천원, 해외 1만8천원",직전 1개월 합계 30만원 이상,251
252,"국내전용 없음, 해외 15만원, 가족 2만원",직전 1개월 합계 50만원 이상,252
253,"국내 1만원, 해외 1만원",직전 1개월 합계 40만원 이상,253
254,"국내 1만3천원, 해외 1만5천원, 가족겸용 없음",조건없음,254
255,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 40만원 이상 80만원 이하,255
256,"국내 1만원, 해외 1만2천원",직전 1개월 합계 30만원 이상,256
257,해외 1만5천원,조건없음,257
258,"국내 2만3천원, 해외 2만5천원",직전 1개월 합계 30만원 이상,258
259,"국내 1만8천원, 해외 1만9천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,259
260,"국내 1만3천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,260
261,"국내 1만원, 해외 1만2천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,261
262,"국내 80만원, 해외 80만원, 가족 20만원",직전 1개월 합계 50만원 이상,262
263,"국내전용 없음, 해외겸용 없음, 가족겸용 없음",조건없음,263
264,"국내 2만3천원, 해외 2만6천원",직전 1개월 합계 50만원 이상,264
265,"국내 3만원, 해외 3만원, 가족겸용 없음",직전 1개월 합계 50만원 이상,265
266,"국내 3만5천원, 해외 3만5천원, 가족겸용 없음",조건없음,266
267,"국내 1만2천원, 해외 1만4천원",조건없음,267
268,"국내 1만2천원, 해외 1만2천원",직전 1개월 합계 30만원 이상,268
269,"국내 1만7천원, 해외 2만원",직전 1개월 합계 30만원 이상,269
270,"국내 70만원, 해외 70만원",직전 1개월 합계 1백만원 이상,270
271,"국내 1만원, 해외 1만원",직전 1개월 합계 30만원 이상,271
272,"국내 1만2천원, 해외 1만4천원",직전 1개월 합계 30만원 이상,272
273,"국내 2천원, 해외 5천원",직전 1개월 합계 30만원 이상,273
274,"국내 3만원, 해외 3만원, 가족 1만원",직전 1개월 합계 50만원 이상,274
275,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,275
276,"국내 3만원, 해외 3만원, 가족 1만원",직전 1개월 합계 50만원 이상,276
277,"국내 1만7천원, 해외 1만7천원",직전 1개월 합계 40만원 이상,277
278,"국내 1만5천원, 해외 1만7천원",직전 1개월 합계 50만원 이상,278
279,"국내 6만3천원, 해외 6만5천원, 가족 1만5천원",직전 1개월 합계 30만원 이상,279
280,"국내 5천원, 해외 5천원",직전 1개월 합계 30만원 이상,280
281,"국내 21만9천원, 해외 22만원, 가족겸용 없음",직전 1개월 합계 50만원 이상,281
282,"국내 22만2천원, 해외 22만5천원, 가족겸용 없음",직전 1개월 합계 30만원 이상,282
283,"국내 2만3천원, 해외 2만5천원",직전 1개월 합계 50만원 이상,283
284,"국내 5천원, 해외 7천원",직전 1개월 합계 30만원 이상,284
285,"해외 14만5천원, 가족 1만5천원",직전 1개월 합계 50만원 이상,285
286,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,286
287,"국내 1만4천원, 해외 1만5천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,287
288,"국내 1만5천원, 해외 2만원",조건없음,288
289,"국내 1만원, 해외 1만5천원",직전 1개월 합계 30만원 이상,289
290,"국내 1만원, 해외 1만3천원",직전 1개월 합계 30만원 이상,290
291,"국내 3만원, 해외 3만원",직전 1개월 합계 50만원 이상,291
292,"국내 10만원, 해외 10만원, 가족겸용 없음",조건없음,292
293,"국내 2천원, 해외 4천원",직전 1개월 합계 20만원 이상,293
294,"국내 50만원, 해외 50만원",직전 1개월 합계 50만원 이상,294
295,"국내 1만원, 해외 1만2천원",직전 1개월 합계 50만원 이상,295
296,"국내 20만원, 해외 20만3천원, 가족겸용 없음",직전 1개월 합계 40만원 이상,296
297,"국내 2만원, 해외 2만2천원",직전 1개월 합계 30만원 이상,297
298,"국내 15만원, 해외 15만원",직전 1개월 합계 50만원 이상,298
299,"국내 4만1천원, 해외 4만2천원",직전 1개월 합계 50만원 이상,299
300,"국내 5천원, 해외 1만원",직전 1개월 합계 30만원 이상,300
301,"국내전용 없음, 해외겸용 없음",직전 1개월 합계 20만원 이상,301
302,"국내 1만5천원, 해외 1만7천원, 가족겸용 없음",직전 1개월 합계 50만원 이상,302
303,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 30만원 이상,303
304,"국내 1만5천원, 해외 1만5천원",직전 1개월 합계 40만원 이상,304
305,"국내 21만9천원, 해외 22만원, 가족겸용 없음",직전 1개월 합계 50만원 이상,305
306,국내 1만5천원,직전 1개월 합계 30만원 이상,306
